MATH WORDS	Meaning Clarifications (word cullers)	Publisher-Identified vocabulary?       (SLF)	Part of speech (SLF)	Definition (Layla)	Source of definition (Layla) [NOTE: Frequently we used the definition for kids or for ELs from MW online]	Word form used to generate the stems (Xing)	Stem or stems used to generate the computer version of the sub-bank (Xing)	POSSIBLE PARTS OF SPEECH from WordNet (Xing)	"POLYSEMY COUNT from WordNet, according to different part of speech (Xing)"	MATH TEXTS GRADE LEVEL(S) (Xing)	MATH DISPERSION # math sources containing this word (Xing)	CONCRETENESS VS. ABSTRACTION from WordNet (Xing)	WORD FREQUENCY from Zeno corpus (Kelly)	MORPHOLOGICAL FAMILY FREQUENCY from Zeno corpus (Xing)	In Coxhead List?  2=yes--head word; 1=variant; 0=no (Katherine)	"When this word is a variant of a Coxhead head word, what's the head word? (Katherine)"	SPANISH-ENGLISH WORD RELATIONSHIP  [borrowed; cognate; false cognate; not cognate]   (Alyssa)	The Spanish cognate word (Alyssa)	Is this a math content word?  [0=no; 1=yes] (Zoe)	"Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core math standards  (excludes discussions, overviews, & maybe calculus standards?).  8 algebra 1 standards appear at the end of the lists.                                             [grade.standard; 8A (8th grade algebra 1).standard; or HS (high school).standard]        (Zoe)"	Subject and grade for each occurrence of the word (either a math content word or a word in AWL) in the CA Common Core ELA standards (Zoe)	"When the word (either a math content word or a word in AWL) is in a 4th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 4th grade content domain in the standards, list subject and specific standard designation"	"When the word (either a math content word or a word in AWL) is in a 5th grade standard, list subject and specific CA Common Core standard designation (Zoe)"	"When the word is not verbatim in the CA CC standards but IS in a 5th grade content domain in the standards, list subject and specific standard designation "		COMBINED SCIENCE & MATH DRAFT GRADE LEVEL(S) (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION       A list of all the subject sub-banks with this word (Xing)	COMBINED SCIENCE & MATH DRAFT SUBJECT DISPERSION Number of subject sub-banks that the word appears in (Xing)	COMBINED SCIENCE & MATH DRAFT SOURCE DISPERSION Total number of sources the word appears in (Xing)
axis	a line on a coordinate plane	yes	noun	"in a coordinate plane, the horizontal or vertical line along which the coordinates are measured"	4th math hm	axis	axi	noun	6	4 & 5	3	concrete	15	15	0		notcognate		1	"5.G ,8.EE ,8A.A "	NOT PRESENT			Math: 5.G - Graph points on the coordinate plane to solve real-world and mathematical problems (1)			4 & 5	math & science	2	6
balance		no	noun	an instrument for weighing	MW online	balance	balanc	noun & verb	12 & 4	4	2	abstract	76	107.0668	0		cognate	balancia	1	6.NS 	NOT PRESENT						4	math & science	2	3
balanced	equal	no	verb	to arrange so that one set of elements exactly equals another	MW online	balance	balanc	adjective	2	4	1	n/a	19	107.0668	0		notcognate		1	NOT PRESENT	NOT PRESENT						4 & 5	math & science	2	3
balancing		no	verb	to arrange so that one set of elements exactly equals another	MW online	balancing	balanc	noun	1	4	1	abstract	5	107.0668	0		notcognate		1	NOT PRESENT	NOT PRESENT						4	math	1	1
banquet		no	noun	a sumptuous feast; especially: an elaborate and often ceremonious meal for numerous people often in honor of a person	MW online	banquet	banquet	noun & verb	2 & 2	4 & 5	2	abstract	2	2.8138	0		cognate	banquete	0								4 & 5	math	1	2
base	the base of an exponential expression	yes	noun	the number that is multiplied by itself when raised to a power	5th math psf	base	base	noun & verb & adjective	19 & 3 & 7	5	1	concrete	65	172.5531	0		cognate	base	1	" K.NBT ,1.NBT ,2.NBT ,3.NBT ,4.NBT ,5.NBT,HS.A-SSE ,HS.F-LE ,HS.G-CO "		Math:4.NBT - Number and Operations in Base Ten (heading only)		Math: 5.NBT - Number and Operations in Base Ten (heading only)			5	math & science	2	2
base	the bottom of a figure	yes	noun	a bottom side or face of a geometric figure	5th math hm	base	base	noun & verb & adjective	19 & 3 & 7	4 & 5	3	concrete	65	172.5531	0		cognate	base	1	"5.MD ,HS.G-CO "				Math:  5.MD - understand concepts of volume and relate volume to multiplication and to addition (5)			4 & 5	math & science	2	4
bases	the matching bottom & top of a figure	yes	noun	a bottom side or face of a geometric figure (plural)	5th math hm	base	base	noun & verb & adjective	19 & 3 & 7	4	1	concrete	16	172.5531	0		cognate	bases	1	NOT PRESENT	NOT PRESENT						4	math	1	1
batch		no	noun	the quantity of material prepared or required for one operation	MW online	batch	batch	noun & verb	3 & 1	4 & 5	2	abstract	3	3.5078	0		notcognate		0								4 & 5	math	1	2
batches		no	noun	the quantity of material prepared or required for one operation (plural)	MW online	batch	batch	noun & verb	3 & 1	4	1	abstract	0.487	3.5078	0		notcognate		0								4	math	1	1
beam	a long square board	no	noun	a long piece of heavy often squared timber suitable for use in construction	MW online	beam	beam	noun & verb	6 & 6	5	1	abstract	22	37.0651	0		notcognate		0								5	math	1	1
beams	boards	no	noun	a long piece of heavy often squared timber suitable for use in construction (plural)	MW online	beam	beam	noun & verb	6 & 6	4	1	abstract	12	37.0651	0		notcognate		0								4 & 5	math & science	2	2
benchmark	simple fractions used for estimating more complex fractional values--adjective	yes	noun	"fractions such as 1/4, 1/3, 1/2, 2/3, and 3/4, that are used for estimating actual fractional amounts"	5th math psf	benchmark	benchmark	noun	2	4 & 5	2	abstract	0.0646	0.0809	0		notcognate		1	"4.NF ,5.NF ,HS.F-BF "	NOT PRESENT	Math:4.NF Extend understanding of fraction equivalence and ordering (2)		Math: 5.NF - Use equivalent fractions as a strategy to add and subtract fractions (2)			4 & 5	math	1	2
bilateral		yes	adjective	having two sides	4th math psf	bilateral	bilater	adjective	3	4	2	n/a	1	1.0554	0		cognate	bilateral	1	NOT PRESENT	NOT PRESENT						4	math	1	2
billions		yes	noun	"the number 1,000,000,000 or 10^9, or also known as one thousand million (plural)"	5th math hm	billion	billion	noun & adjective	3 & 2	5	1	abstract	14	219.8023	0		cognate	billones	1	NOT PRESENT	NOT PRESENT						4 & 5	math & science	2	3
billionth		no	adjective	the ordinal form of one billion (one thousand million)	MW online	billionth	billionth	noun & adjective	2 & 1	5	1	abstract	0.0589	0.182	0		cognate	billonésimo	1	NOT PRESENT	NOT PRESENT						5	math & science	2	2
border		no	noun	an outer part or edge	MW online	border	border	noun & verb	5 & 5	4	1	concrete	25	42.0554	0		cognate	borde	1	NOT PRESENT	NOT PRESENT						4	math	1	1
bordered	adjective forming the borders of	no	verb	to lie on the border with	MW online	border	border	adjective	1	5	1	n/a	3	42.0554	0		notcognate		1	NOT PRESENT	NOT PRESENT						5	math	1	1
bouquet		no	noun	flowers picked and fastened together in a bunch	MW online	bouquet	bouquet	noun	2	4	2	abstract	2	2.5746	0		notcognate		0								4	math	1	2
bouquets		no	noun	flowers picked and fastened together in a bunch (plural)	MW online	bouquet	bouquet	noun	2	4	2	abstract	0.5746	2.5746	0		notcognate		0								4	math	1	2
budget	noun--a spending plan	no	noun	a plan for the coordination of resources and expenditures 	MW online	budget	budget	noun & verb	2 & 1	5	1	abstract	21	24.0054	0		notcognate		1	NOT PRESENT	NOT PRESENT						5	math	1	1
budget	verb	no	verb	to put or allow for in a budget	MW online	budget	budget	noun & verb	2 & 1	5	1	abstract	21	24.0054	0		notcognate		1	NOT PRESENT	NOT PRESENT						5	math	1	1
budgeted	verb	no	verb	to put or allow for in a budget	MW online	budget	budget	noun & verb	2 & 1	5	1	abstract	0.3169	24.0054	0		notcognate		1	NOT PRESENT	NOT PRESENT						5	math	1	1
budgets	verb	no	verb	to put or allow for in a budget	MW online	budget	budget	noun & verb	2 & 1	5	1	abstract	2	24.0054	0		notcognate		1	NOT PRESENT	NOT PRESENT						5	math	1	1
builder		no	noun	one that contracts to build and supervises building operations	MW online	builder	builder	noun	3	4	1	concrete	5	672.4034	0		notcognate		0								4	math	1	1
buildings		no	noun	a usually roofed or walled structure built for permanent use (as for a dwelling)  (plural)	MW online	building	build	noun	4	4	1	concrete	102	672.4034	0		notcognate		0								4	math	1	1
built		no	verb	to form by ordering and uniting materials by gradual means into a composite whole: to construct	MW online	build	build	adjective	3	4	1	n/a	208	672.4034	0		notcognate		0								4	math	1	1
bulbs	flower bulbs	no	noun	"a resting stage of a plant (as the lily, onion, hyacinth, or tulip) that is usually found underground and consists of a short stem base bearing one or more buds enclosed in overlapping membranous or fleshy leaves"	MW online	bulb	bulb	noun	5	4	2	concrete	9	24.0163	0		cognate	bulbos 	0								4	math & science	2	4
bundle	noun--group of items	no	noun	a group of things fastened together for convenient handling	MW online	bundle	bundl	noun & verb	3 & 4	4	2	abstract	14	24.0762	0		notcognate		1	"1.NBT ,2.NBT "	NOT PRESENT						4	math	1	2
bundles	noun plural	no	noun	a group of things fastened together for convenient handling (plural)	MW online	bundle	bundl	noun & verb	3 & 4	4	1	abstract	8	24.0762	0		notcognate		1	NOT PRESENT	NOT PRESENT						4	math	1	1
bundling	verb	no	verb	"to make into a bundle, a group of things fastened together for convenient handling"	MW online	bundling	bundl	noun	3	4	1	abstract	0.0762	24.0762	0		notcognate		1	NOT PRESENT	NOT PRESENT						4	math	1	1
bushels		yes	noun	"a unit of dry measure or capacity, generally 4 pecks (plural)"	MW online	bushel	bushel	noun & verb	2 & 1	4 & 5	2	abstract	1	2	0		notcognate		1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	2
calcium		no	noun	a silver white metallic element occurring only in combination	MW online	calcium	calcium	noun	1	4 & 5	2	concrete	13	13	0		cognate	calcio	0								4 & 5	math & science	2	4
calculated		no	adjective	worked out by mathematical calculation	MW online	calculate	calcul	adjective	1	4 & 5	3	n/a	8	28.9661	0		cognate	calculado	1	"8.S ,HS.S-MD ,8A.S "	NOT PRESENT						4 & 5	math & science	2	5
calculates		no	verb	to determine an answer by mathematical processes	MW online	calculate	calcul	verb	6	4 & 5	2	n/a	0.534	28.9661	0		cognate	calcula	1	NOT PRESENT	NOT PRESENT						4 & 5	math	1	2
calculating		no	verb	to determine an answer by mathematical processes	MW online	calculate	calcul	adjective	1	4	1	n/a	2	28.9661	0		cognate	calculando	1	NOT PRESENT	NOT PRESENT						4 & 5	math & science	2	2
calculation		no	noun	"the process of calculating, or the result of the act of calculating"	MW online	calculation	calcul	noun	3	4 & 5	3	abstract	3	28.9661	0		cognate	cálculo	1	"4.NBT ,5.OA ,5.NBT ,6.EE ,8A.F "	NOT PRESENT	"Math: 4.NBT Generalize place value understanding for multi-digit whole numbers (5), 4.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic (6)"		"Math: 5.OA - Write and interpret numerical expressions (2),5.NBT - Perform operations with multi-digit whole numbers and with decimals to hundredths (6)"			4 & 5	math	1	3
calculations		no	noun	"the process of calculating, or the result of the act of calculating (plural)"	MW online	calculation	calcul	noun	3	4 & 5	3	abstract	6	28.9661	0		cognate	cálculos	1	5.OA 	NOT PRESENT			Math: 5.OA - Write and interpret numerical expressions (2)			4 & 5	math & science	2	4
calorie		no	noun	an amount of food having an energy-producing value of one large calorie (the amount of heat required to raise the temperature of one kilogram of water one degree Celsius)	MW online	calorie	calori	noun	2	5	1	abstract	1	12.8554	0		cognate	caloría	1	NOT PRESENT	NOT PRESENT						5	math	1	1
calories		no	noun	an amount of food having an energy-producing value of one large calorie (the amount of heat required to raise the temperature of one kilogram of water one degree Celsius) (plural)	MW online	calorie	calori	noun	2	5	1	abstract	11	12.8554	0		cognate	calorías	1	NOT PRESENT	NOT PRESENT						5	math & science	2	3
candidate		no	noun	"one that aspires to, or is nominated or qualified for, an office, membership, or award"	MW online	candidate	candid	noun	2	5	1	concrete	18	36.9871	0		cognate	candidato	0								5	math	1	1
candidates		no	noun	"one that aspires to, or is nominated or qualified for, an office, membership, or award (plural)"	MW online	candidate	candid	noun	2	4	1	concrete	18	36.9871	0		cognate	candidatos	0								4	math	1	1
capacity		yes	noun	the volume of a container measured in liquid units	4th math psf	capacity	capac	noun	9	4 & 5	4	abstract	26	29.2949	2		cognate	capacidad	1	NOT PRESENT	"Grades 9-10 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"						4 & 5	math	1	4
carbohydrates		no	noun	"any of various neutral compounds of carbon, hydrogen, and oxygen (as sugars, starches, and celluloses) most which are usually animal foods (plural)"	MW online	carbohydrate	carbohydr	noun	1	5	1	concrete	11	13	0		cognate	hidratos de carbono	0								5	math & science	2	3
carbon		no	noun	"a nonmetallic element, fundamental to all organic compounds, which occurs alone or in combination with other elements"	MW online	carbon	carbon	noun	3	5	1	concrete	76	79.4466	0		cognate	carbono / carbón	0								4 & 5	math & science	2	5
cashews		no	noun	an edible nut that is shaped like a kidney and comes from a tropical American tree with the same name (plural)	MW online	cashew	cashew	noun	2	5	2	concrete	0.0325	0.0488	0		notcognate		0								5	math	1	2
categorical	as in categorical data	no	adjective	"of, relating to, or constituting a category"	MW online	categorical	categor	adjective	2	4	1	n/a	0.0716	27.5608	0		cognate	categórico	0								4	math	1	1
category		no	noun	any of several fundamental and distinct classes to which entities or concepts belong	MW online	category	categori	noun	2	4	1	abstract	11	27.5608	2		cognate	categoría	1	"K.MD ,1.MD ,3.G ,4.G ,5.G "	"Grade 1 Language Standards,"	"Math:4.G Draw and identify lines and angles, and classify shapes by properties of their lines and angles (2)"		Math: 5.G - Classify two-dimensional figures into categories based on their properties (3)			4	math	1	1
cattle		no	noun	"domesticated, four-legged, bovine animals on a farm or ranch, held as property and raised for use (plural)"	MW online	cattle	cattl	noun	1	4	2	concrete	63	63	0		notcognate		0								4	math	1	2
cells	batteries	no	noun	a unit in a device for changing radiant energy into electrical energy (plural)	MW online	cell	cell	noun	7	4	1	concrete	173	264.0554	0		cognate	las células	0								4 & 5	math & science	2	4
cells	cells that make up the body	no	noun	"a tiny unit that is the basic building block of living things, that carries on the basic functions of life either alone or in groups, and that includes a nucleus and is surrounded by a membrane (plural)"	MW online	cell	cell	noun	7	5	1	concrete	173	264.0554	0		cognate	las células	0								4 & 5	math & science	2	4
center	noun--center of a circle	yes	noun	a point that is the same distance from all points on a circle	4th math hm	center	center	noun & verb & adjective	18 & 3 & 2	4 & 5	2	concrete	175	380.3814	0		cognate	centro	1	"4.MD ,6.S ,7.EE ,7.S ,HS.G-SRT ,HS.G-GE ,HS.S-ID "	NOT PRESENT	Math: 4.MD Geometric measurement: understand concepts of angle and measure angles (5)					4 & 5	math	1	2
centerpiece		no	noun	an object occupying a central position	MW online	centerpiece	centerpiec	noun	2	4	1	abstract	0.177	0.2035	0		cognate	central	0								4	math	1	1
centimeter		yes	noun	a metric  unit used to measure length (100 centimeters = 1 meter)	4th math hm	centimeter	centimet	noun	1	4 & 5	3	abstract	3	15.7561	0		cognate	centímetro	1	NOT PRESENT	NOT PRESENT						4 & 5	math & science	2	4
centimeters		yes	noun	a metric  unit used to measure length (100 centimeters = 1 meter) (plural)	4th math hm	centimeter	centimet	noun	1	4 & 5	3	abstract	12	15.7561	0		cognate	centímetros	1	2.MD 	NOT PRESENT						4 & 5	math & science	2	6
centuries		yes	noun	a unit of time equal to 100 years (plural)	4th math psf	century	centuri	noun	2	5	1	abstract	54	184	0		notcognate		0								4 & 5	math & science	2	2
century		yes	noun	a unit of time equal to 100 years	4th math psf	century	centuri	noun	2	4 & 5	2	abstract	130	184	0		notcognate		0								4 & 5	math & science	2	3
ceramic		no	adjective	"of or relating to ceramic products or to the manufacture of earthenware, porcelain, brick or similar products made essentially from clay or another nonmetallic mineral by firing at a high temperature"	MW online	ceramic	ceram	noun & adjective	1 & 1	4	2	concrete	2	3	0		cognate	cerámico	0								4	math	1	2
certain	adjective--sure to occur	yes	adjective	sure to occur	4th math psf	certain	certain	adjective	7	4 & 5	3	n/a	326	419	0		cognate	cierto	0								4 & 5	math	1	3
challenge	noun	no	noun	a stimulating task or problem	MW online	challenge	challeng	noun & verb	5 & 4	4	1	abstract	23	43.9436	2		notcognate		0	NOT PRESENT							4	math	1	1
challenge	verb--to dispute	no	verb	"to dispute, especially as being unjust, invalid, or outmoded"	MW online	challenge	challeng	noun & verb	5 & 4	4	1	abstract	23	43.9436	2		notcognate		0	NOT PRESENT	"Grades 9-10 Speaking and Listening,Grades 11-12 Speaking and Listening Standards"						4	math	1	1
chance	noun--likelihood	no	noun	"the possibility of a particular outcome in an uncertain situation, or the degree of likelihood of such an outcome"	MW online	chance	chanc	noun & verb & adjective	5 & 3 & 1	4 & 5	2	abstract	113	140.365	0		notcognate		1	"7.S ,HS.S-C ,HS.S-MD "	NOT PRESENT						4 & 5	math	1	2
charity		no	noun	"generosity and helpfulness especially toward the needy or suffering; also, aid given to those in need"	MW online	charity	chariti	noun	5	4 & 5	2	abstract	6	7.8348	0		cognate	caridad	0								4 & 5	math	1	2
chart	a diagram	no	noun	"a sheet giving information in a the form of a table or of lists, or by means of diagrams or graphs"	MW online	chart	chart	noun & verb	2 & 3	4 & 5	3	abstract	37	62.9293	2		notcognate		1	NOT PRESENT	Grades 9-10 Reading Standards for Literacy in Science and Technical Subjects						4 & 5	math & science	2	4
charts	noun plural diagrams	no	noun	"a sheet giving information in a the form of a table or of lists, or by means of diagrams or graphs (plural)"	MW online	chart	chart	noun & verb	2 & 3	4	2	abstract	11	62.9293	1	chart	notcognate		1	NOT PRESENT	"Grade 4 Reading Standards for Informational Text,Grade 6 Writing Standards,Grade 7 Writing Standards,Grade 8 Writing Standards,Grades 6-8 Reading Standards for Literacy in History/Social Studies,Grades 9-10 Reading Standards for Literacy in History/Social Studies,Grades 6-8 Writing Standards for Literacy in History/Social Studies, Science, and Technical Subjects"	 ELA:Grade 4 Reading Standards for Informational Texts - Integration of Knowledge and Ideas (7)					4	math & science	2	3
chemicals		no	noun	a substance obtained by a chemical process or producing a chemical effect (plural)	MW online	chemical	chemic	noun & adjective	1 & 2	4	1	concrete	48	148	1	chemical	cognate	productos químicos	0	NOT PRESENT	NOT PRESENT						4 & 5	math & science	2	4
chemist		no	noun	one trained in chemistry	MW online	chemist	chemist	noun	2	5	1	concrete	5	10.0326	0		cognate	químico	0								5	math & science	2	2
chirping		no	verb	"to make a chirp, the characteristic short, sharp sound of a small bird or insect"	MW online	chirp	chirp	noun & verb	1 & 2	5	1	abstract	1	3.2959	0		notcognate		0								5	math	1	1
chirps	plural noun--sound a cricket makes	no	noun	the characteristic short sharp sound of a small bird or insect (plural)	MW online	chirp	chirp	noun & verb	1 & 2	4 & 5	2	abstract	0.379	3.2959	0		notcognate		0								4 & 5	math	1	2
circle		yes	noun	a closed plane figure in which every point is the same distance from a given point called the center of the circle	4th math hm	circle	circl	noun & verb	8 & 4	4	1	abstract	65	96	0		cognate	círculo	1	"K.CC,4.MD ,6.G ,7.G ,HS.A-REI ,HS.F-TF ,HS.G-CO ,HS.G-C ,HS.G-GE ,HS.G-GMD "	NOT PRESENT	Math: 4.MD Geometric measurement: understand concepts of angle and measure angles (5)					4	math	1	1
