MATH WORDS		SOURCE #1--A MATH TEXT								SOURCE #2--A MATH TEXT								SOURCE #3--A MATH TEXT								SOURCE #4--A MATH TEXT								SOURCE #5--NOT A MATH TEXT								SOURCE #6--NOT A MATH TEXT								SOURCE #7--NOT A MATH TEXT								SOURCE #8--NOT A MATH TEXT							
	id	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE	PAGE #	MEANING CLARIFICATION	PUBLISHER-IDENTIFIED WORD?  [Enter x if so]	A NEW WORD FOR YOU?  [Enter x if so]	COMMENTS	SOURCE	SUBJECT	GRADE
digestive	271	510					5th math hm	math	5																									90					5th science delta	science	5	107					5th science mmh	science	5																
digit	272	8	number	x			4th math hm	math	4	469					4th math psf	math	4	471					5th math psf	math	5																																								
digital	273	468	adjective--opposite of analog	x			4th math psf	math	4																																																								
digits	274	1	numbers				4th math hm	math	4	468		x			4th math psf	math	4	ksh8					5th math hm	math	5	470		x			5th math psf	math	5																																
dimensions	275	193					4th math psf	math	4	463					5th math hm	math	5	306					5th math psf	math	5																																								
director	276	216	person in charge				4th math hm	math	4	452					5th math hm	math	5																																																
discount	277	521	adjective--as in discount stores				5th math hm	math	5																																																								
discount	278	69	noun--money off the regular price				5th math psf	math	5																																																								
discounted	279	75	adjective--discounted price				5th math psf	math	5																																																								
discovered	280	396					5th math hm	math	5	430					4th math hm	math	4																																																
discovery	281	430					4th math hm	math	4																									40					4th science delta	science	4																								
display	282	38	noun				5th math hm	math	5	272	noun				4th math hm	math	4																	335					4th science mmh	science	4																								
displaying	283	466	to show or present				4th math psf	math	4																																																								
distance	284	120		x			5th math psf	math	5	402					4th math hm	math	4	408					4th math psf	math	4									5					4th science mmh	science	4																								
distances	285	30					4th math hm	math	4																									278					4th science mmh	science	4																								
distinguishing	286	190					4th math hm	math	4	16					4th math psf	math	4	14					5th math psf	math	5																																								
distribute	287	233		x			4th math hm	math	4	253					5th math psf	math	5																																																
distributive	288	122	a property				5th math psf	math	5	122		x			5th math hm	math	5	468	distributive property	x			4th math psf	math	4																																								
divide	289	119					4th math hm	math	4	468		x			4th math psf	math	4	470					5th math psf	math	5																																								
divided	290	76					4th math psf	math	4	469					5th math psf	math	5																																																
dividend	291	130		x			4th math hm	math	4	468		x			4th math psf	math	4	ksh8					5th math hm	math	5	470		x			5th math psf	math	5																																
divides	292	151					4th math hm	math	4																																																								
dividing	293	466					4th math psf	math	4																																																								
divisibility	294	302					4th math hm	math	4	281					4th math psf	math	4	193					5th math psf	math	5																																								
divisible	295	648		x			4th math hm	math	4	468		x			4th math psf	math	4	470		x			5th math psf	math	5																																								
division	296	119					4th math hm	math	4	469					4th math psf	math	4	471					5th math psf	math	5																																								
divisor	297	470		x			5th math psf	math	5	131		x			4th math hm	math	4	468		x			4th math psf	math	4	ksh10					5th math hm	math	5																																
divisors	298	92					5th math psf	math	5																																																								
donate	299	115					5th math hm	math	5																																																								
donation	300	253					4th math hm	math	4																																																								
double	301	215	take a value times two				4th math psf	math	4																																																								
doubled	302	243	taken times two				4th math hm	math	4	xviii	taken times two				4th math psf	math	4	xviii					5th math psf	math	5																																								
dowel	303	278					5th math psf	math	5																																																								
dowels	304	80					4th math psf	math	4																																																								
dozen	305	66					4th math psf	math	4	79					5th math psf	math	5																																																
earn	306	245					4th math hm	math	4																																																								
earned	307	118					5th math hm	math	5																																																								
easel	308	74					4th math hm	math	4	297					4th math psf	math	4																																																
edge	309	318	segment where 2 faces meet	x			5th math psf	math	5	619	segment where 2 faces meet	x			4th math hm	math	4	468	segment where 2 faces meet	x			4th math psf	math	4	471	segment where 2 faces meet	x			5th math hm	math	5																																
edges	310	477	noun plural				5th math psf	math	5																																																								
eighth	311	264					5th math psf	math	5																																																								
eighths	312	253					4th math psf	math	4																																																								
elapsed	313	468	adjective--elapsed time	x			4th math psf	math	4	470	already gone by				5th math psf	math	5																																																
